University_ID,Total_Score,National_Rank,Category,Score,Max_Score
UNIV_028,7894,13,Energy (EC),2016,2100
UNIV_029,8305,4,Energy (EC),1262,2100
UNIV_030,6921,35,Energy (EC),1265,2100
UNIV_031,8009,10,Energy (EC),2038,2100
UNIV_032,7979,11,Energy (EC),1467,2100
UNIV_033,7844,14,Energy (EC),1889,2100
UNIV_034,6473,47,Energy (EC),1140,2100
UNIV_035,7075,32,Energy (EC),1438,2100
UNIV_036,6499,45,Energy (EC),1539,2100
UNIV_037,7236,31,Energy (EC),1806,2100
UNIV_038,7642,20,Energy (EC),1867,2100
UNIV_039,6472,48,Energy (EC),1099,2100
UNIV_040,6813,38,Energy (EC),1193,2100
UNIV_041,7662,18,Energy (EC),1815,2100
UNIV_042,8023,9,Energy (EC),1493,2100
UNIV_043,6387,49,Energy (EC),1016,2100
UNIV_044,7074,33,Energy (EC),1360,2100
UNIV_045,7267,30,Energy (EC),1046,2100
UNIV_046,7499,23,Energy (EC),1271,2100
UNIV_047,8155,5,Energy (EC),1296,2100
UNIV_048,7759,16,Energy (EC),1979,2100
UNIV_049,6952,34,Energy (EC),1836,2100
UNIV_050,8123,7,Energy (EC),1926,2100
UNIV_001,8132,6,Waste (WS),1703,1800
UNIV_002,7423,24,Waste (WS),1661,1800
UNIV_003,8402,3,Waste (WS),1286,1800
UNIV_004,6796,39,Waste (WS),860,1800
UNIV_005,6845,36,Waste (WS),1121,1800
UNIV_006,6815,37,Waste (WS),1684,1800
UNIV_007,8983,1,Waste (WS),1566,1800
UNIV_008,7814,15,Waste (WS),1772,1800
UNIV_009,6598,44,Waste (WS),1123,1800
UNIV_010,8058,8,Waste (WS),1612,1800
UNIV_011,7279,29,Waste (WS),1619,1800
UNIV_012,6716,40,Waste (WS),1447,1800
UNIV_013,7330,26,Waste (WS),1798,1800
UNIV_014,7379,25,Waste (WS),888,1800
UNIV_015,7326,27,Waste (WS),1766,1800
UNIV_016,6679,43,Waste (WS),941,1800
UNIV_017,7306,28,Waste (WS),1212,1800
UNIV_018,7652,19,Waste (WS),1164,1800
UNIV_019,7554,22,Waste (WS),1119,1800
UNIV_020,6701,42,Waste (WS),1140,1800
UNIV_021,7729,17,Waste (WS),1732,1800
UNIV_022,7623,21,Waste (WS),1431,1800
UNIV_023,6488,46,Waste (WS),1296,1800
UNIV_024,7913,12,Waste (WS),1280,1800
UNIV_025,6707,41,Waste (WS),1177,1800
UNIV_026,5896,50,Waste (WS),1224,1800
UNIV_027,8565,2,Waste (WS),1272,1800
UNIV_028,7894,13,Waste (WS),1684,1800
UNIV_029,8305,4,Waste (WS),1562,1800
UNIV_030,6921,35,Waste (WS),1759,1800
UNIV_031,8009,10,Waste (WS),858,1800
UNIV_032,7979,11,Waste (WS),1293,1800
UNIV_033,7844,14,Waste (WS),877,1800
UNIV_034,6473,47,Waste (WS),808,1800
UNIV_035,7075,32,Waste (WS),1006,1800
UNIV_036,6499,45,Waste (WS),1190,1800
UNIV_037,7236,31,Waste (WS),865,1800
UNIV_038,7642,20,Waste (WS),1022,1800
UNIV_039,6472,48,Waste (WS),998,1800
UNIV_040,6813,38,Waste (WS),1352,1800
UNIV_041,7662,18,Waste (WS),1687,1800
UNIV_042,8023,9,Waste (WS),1770,1800
UNIV_043,6387,49,Waste (WS),876,1800
UNIV_044,7074,33,Waste (WS),1260,1800
UNIV_045,7267,30,Waste (WS),1465,1800
UNIV_046,7499,23,Waste (WS),1290,1800
UNIV_047,8155,5,Waste (WS),1435,1800
UNIV_048,7759,16,Waste (WS),1297,1800
UNIV_049,6952,34,Waste (WS),935,1800
UNIV_050,8123,7,Waste (WS),1581,1800
UNIV_001,8132,6,Water (WR),928,1000
UNIV_002,7423,24,Water (WR),751,1000
UNIV_003,8402,3,Water (WR),757,1000
UNIV_004,6796,39,Water (WR),747,1000
UNIV_005,6845,36,Water (WR),669,1000
UNIV_006,6815,37,Water (WR),706,1000
UNIV_007,8983,1,Water (WR),940,1000
UNIV_008,7814,15,Water (WR),971,1000
UNIV_009,6598,44,Water (WR),563,1000
UNIV_010,8058,8,Water (WR),981,1000
UNIV_011,7279,29,Water (WR),503,1000
UNIV_012,6716,40,Water (WR),517,1000
UNIV_013,7330,26,Water (WR),588,1000
UNIV_014,7379,25,Water (WR),738,1000
UNIV_015,7326,27,Water (WR),715,1000
UNIV_016,6679,43,Water (WR),697,1000
UNIV_017,7306,28,Water (WR),597,1000
UNIV_018,7652,19,Water (WR),550,1000
UNIV_019,7554,22,Water (WR),857,1000
UNIV_020,6701,42,Water (WR),630,1000
UNIV_021,7729,17,Water (WR),646,1000
UNIV_022,7623,21,Water (WR),802,1000
UNIV_023,6488,46,Water (WR),545,1000
UNIV_024,7913,12,Water (WR),941,1000
UNIV_025,6707,41,Water (WR),919,1000
UNIV_026,5896,50,Water (WR),518,1000
UNIV_027,8565,2,Water (WR),975,1000
UNIV_028,7894,13,Water (WR),674,1000
UNIV_029,8305,4,Water (WR),938,1000
UNIV_030,6921,35,Water (WR),573,1000
UNIV_031,8009,10,Water (WR),965,1000
UNIV_032,7979,11,Water (WR),562,1000
UNIV_033,7844,14,Water (WR),695,1000
UNIV_034,6473,47,Water (WR),639,1000
UNIV_035,7075,32,Water (WR),910,1000
UNIV_036,6499,45,Water (WR),592,1000
UNIV_037,7236,31,Water (WR),959,1000
UNIV_038,7642,20,Water (WR),894,1000
UNIV_039,6472,48,Water (WR),887,1000
UNIV_040,6813,38,Water (WR),545,1000
UNIV_041,7662,18,Water (WR),622,1000
UNIV_042,8023,9,Water (WR),942,1000
UNIV_043,6387,49,Water (WR),687,1000
UNIV_044,7074,33,Water (WR),907,1000
UNIV_045,7267,30,Water (WR),781,1000
UNIV_046,7499,23,Water (WR),783,1000
UNIV_047,8155,5,Water (WR),941,1000
UNIV_048,7759,16,Water (WR),610,1000
UNIV_049,6952,34,Water (WR),759,1000
UNIV_050,8123,7,Water (WR),599,1000
UNIV_001,8132,6,Transportation (TR),1518,1800
UNIV_002,7423,24,Transportation (TR),1141,1800
UNIV_003,8402,3,Transportation (TR),1755,1800
UNIV_004,6796,39,Transportation (TR),1302,1800
UNIV_005,6845,36,Transportation (TR),1232,1800
UNIV_006,6815,37,Transportation (TR),1112,1800
UNIV_007,8983,1,Transportation (TR),1783,1800
UNIV_008,7814,15,Transportation (TR),1655,1800
UNIV_009,6598,44,Transportation (TR),1412,1800
UNIV_010,8058,8,Transportation (TR),1700,1800
UNIV_011,7279,29,Transportation (TR),1125,1800
UNIV_012,6716,40,Transportation (TR),912,1800
UNIV_013,7330,26,Transportation (TR),1112,1800
UNIV_014,7379,25,Transportation (TR),1372,1800
UNIV_015,7326,27,Transportation (TR),1449,1800
UNIV_016,6679,43,Transportation (TR),994,1800
UNIV_017,7306,28,Transportation (TR),1797,1800
UNIV_018,7652,19,Transportation (TR),1473,1800
UNIV_019,7554,22,Transportation (TR),869,1800
UNIV_020,6701,42,Transportation (TR),1436,1800
UNIV_021,7729,17,Transportation (TR),1193,1800
UNIV_022,7623,21,Transportation (TR),1007,1800
UNIV_023,6488,46,Transportation (TR),1051,1800
UNIV_024,7913,12,Transportation (TR),1340,1800
UNIV_025,6707,41,Transportation (TR),1122,1800
UNIV_026,5896,50,Transportation (TR),810,1800
UNIV_027,8565,2,Transportation (TR),1540,1800
UNIV_028,7894,13,Transportation (TR),1571,1800
UNIV_029,8305,4,Transportation (TR),1744,1800
UNIV_030,6921,35,Transportation (TR),1571,1800
UNIV_031,8009,10,Transportation (TR),1591,1800
UNIV_032,7979,11,Transportation (TR),1531,1800
UNIV_033,7844,14,Transportation (TR),1495,1800
UNIV_034,6473,47,Transportation (TR),1090,1800
UNIV_035,7075,32,Transportation (TR),1093,1800
UNIV_036,6499,45,Transportation (TR),1105,1800
UNIV_037,7236,31,Transportation (TR),1655,1800
UNIV_038,7642,20,Transportation (TR),1653,1800
UNIV_039,6472,48,Transportation (TR),1465,1800
UNIV_040,6813,38,Transportation (TR),1201,1800
UNIV_041,7662,18,Transportation (TR),986,1800
UNIV_042,8023,9,Transportation (TR),994,1800
UNIV_043,6387,49,Transportation (TR),1101,1800
UNIV_044,7074,33,Transportation (TR),810,1800
UNIV_045,7267,30,Transportation (TR),936,1800
UNIV_046,7499,23,Transportation (TR),1557,1800
UNIV_047,8155,5,Transportation (TR),1792,1800
UNIV_048,7759,16,Transportation (TR),1081,1800
UNIV_049,6952,34,Transportation (TR),1155,1800
UNIV_050,8123,7,Transportation (TR),1379,1800
UNIV_001,8132,6,Education (ED),1527,1800
UNIV_002,7423,24,Education (ED),1221,1800
UNIV_003,8402,3,Education (ED),1419,1800
UNIV_004,6796,39,Education (ED),1354,1800
UNIV_005,6845,36,Education (ED),1767,1800
UNIV_006,6815,37,Education (ED),1125,1800
UNIV_007,8983,1,Education (ED),1579,1800
UNIV_008,7814,15,Education (ED),1120,1800
UNIV_009,6598,44,Education (ED),1322,1800
UNIV_010,8058,8,Education (ED),1037,1800
UNIV_011,7279,29,Education (ED),1068,1800
UNIV_012,6716,40,Education (ED),1389,1800
UNIV_013,7330,26,Education (ED),1224,1800
UNIV_014,7379,25,Education (ED),1406,1800
UNIV_015,7326,27,Education (ED),1115,1800
UNIV_016,6679,43,Education (ED),1644,1800
UNIV_017,7306,28,Education (ED),1305,1800
UNIV_018,7652,19,Education (ED),1501,1800
UNIV_019,7554,22,Education (ED),1718,1800
UNIV_020,6701,42,Education (ED),944,1800
UNIV_021,7729,17,Education (ED),1504,1800
UNIV_022,7623,21,Education (ED),1239,1800
UNIV_023,6488,46,Education (ED),1237,1800
UNIV_024,7913,12,Education (ED),1283,1800
UNIV_025,6707,41,Education (ED),1008,1800
UNIV_026,5896,50,Education (ED),1473,1800
UNIV_027,8565,2,Education (ED),1772,1800
UNIV_028,7894,13,Education (ED),1147,1800
UNIV_029,8305,4,Education (ED),1659,1800
UNIV_030,6921,35,Education (ED),914,1800
UNIV_031,8009,10,Education (ED),1435,1800
UNIV_032,7979,11,Education (ED),1730,1800
UNIV_033,7844,14,Education (ED),1529,1800
UNIV_034,6473,47,Education (ED),1492,1800
UNIV_035,7075,32,Education (ED),1652,1800
UNIV_036,6499,45,Education (ED),1138,1800
UNIV_037,7236,31,Education (ED),1052,1800
UNIV_038,7642,20,Education (ED),1026,1800
UNIV_039,6472,48,Education (ED),1043,1800
UNIV_040,6813,38,Education (ED),1364,1800
UNIV_041,7662,18,Education (ED),1539,1800
UNIV_042,8023,9,Education (ED),1394,1800
UNIV_043,6387,49,Education (ED),1496,1800
UNIV_044,7074,33,Education (ED),1647,1800
UNIV_045,7267,30,Education (ED),1651,1800
UNIV_046,7499,23,Education (ED),1118,1800
UNIV_047,8155,5,Education (ED),1785,1800
UNIV_048,7759,16,Education (ED),1416,1800
UNIV_049,6952,34,Education (ED),1049,1800
UNIV_050,8123,7,Education (ED),1444,1800
